id,alt,price,time,conven,comfort,meals,petfr,emipp,nonsig1,nonsig2,nonsig3,choice
16,1,6.0,6.0,3.0,3.06314807,7.0,0.0,1.86147542,4.0,1.0,5.0,0.0
16,2,7.0,3.5,4.0,4.5,6.0,-0.01590849,0.25501956,1.73295141,3.0,2.0,1.0
16,3,11.0,4.18106337,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
17,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,2.04152067,5.0,0.0
17,2,7.0,4.3363187,4.0,4.5,6.0,-0.60941461,0.5,2.0,3.0,2.0,1.0
17,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
18,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.6796241,0.0
18,2,6.17437491,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
18,3,10.77792277,3.0,8.0,2.39092273,4.0,3.0,7.0,5.0,0.83315337,2.4146172,0.0
19,1,6.0,6.0,3.61853863,4.0,7.0,0.0,1.63228269,4.0,1.0,4.40700061,0.0
19,2,7.94890969,3.5,4.0,4.5,6.0,0.0,1.77335565,2.41178264,3.89881305,2.0,0.0
19,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,1.0
20,1,6.0,6.0,2.78953639,4.0,7.0,0.0,2.0,4.0,1.0,5.64155101,0.0
20,2,7.0,3.5,4.0,4.5,6.34866342,0.0,0.5,2.0,3.0,2.0,1.0
20,3,11.0,3.0,8.0,3.06012483,4.0,3.0,7.0,5.0,2.5480592,4.0,0.0
21,1,6.0,6.0,3.0,4.0,7.0,0.0,3.47358194,4.0,1.0,5.0,0.0
21,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
21,3,12.60754381,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
22,1,4.30183001,6.0,3.0,4.0,7.0,0.0,0.77960723,4.0,1.0,5.0,0.0
22,2,7.0,3.5,4.0,5.54399059,6.0,0.0,0.5,2.0,3.0,2.0,1.0
22,3,11.0,3.0,8.0,1.80078224,4.0,3.0,7.0,5.0,1.49427466,4.0,0.0
23,1,6.0,6.0,3.0,4.0,7.0,0.0,2.66611464,4.0,1.68593397,5.0,0.0
23,2,7.0,3.5,4.0,4.82508567,6.0,0.0,0.5,2.0,3.71284007,2.0,1.0
23,3,10.86124081,3.0,9.30647803,2.0,4.0,3.0,7.97076643,4.236714,1.0,4.0,0.0
24,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
24,2,7.0,3.5,3.66365005,4.5,5.3961083,0.0,1.18784038,2.0,2.64256789,2.0,1.0
24,3,11.0,2.80616639,8.0,2.0,4.0,3.0,7.0,3.89581493,1.0,4.0,0.0
25,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.94600143,5.0,0.0
25,2,5.88204479,3.5,4.35312163,4.5,6.0,0.0,0.5,1.88993585,3.0,3.1206994,1.0
25,3,11.0,3.0,8.0,2.0,4.5720037,3.0,7.0,5.0,1.0,4.0,0.0
26,1,5.12385146,7.90439894,3.0,5.02366534,7.0,0.0,2.0,4.0,1.0,5.0,0.0
26,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
26,3,11.66575674,3.0,8.0,2.0,3.09236721,3.0,7.0,5.0,1.0,4.0,0.0
27,1,6.0,7.72003939,3.0,4.0,7.0,0.0,2.0,4.0,1.0,3.09382324,0.0
27,2,6.23479644,3.5,2.25658544,4.5,6.0,0.0,0.5,2.0,3.0,1.82045918,1.0
27,3,11.54309033,3.0,8.0,2.45021033,4.0,3.0,7.0,5.0,1.0,4.0,0.0
28,1,6.09543838,6.0,3.0,4.0,8.32974753,-2.10016112,2.0,4.0,1.0,5.0,0.0
28,2,7.07387783,3.7495359,4.0,4.5,5.52791683,0.97575317,0.5,2.0,3.0,2.0,1.0
28,3,11.0,3.0,8.0,2.0,5.13439161,3.0,7.0,4.13612808,1.0,4.0,0.0
29,1,6.0,6.0,3.0,4.65327714,7.0,0.0,2.0,4.0,1.0,5.0,0.0
29,2,7.0,3.9677275,4.0,4.56299878,6.0,0.0,1.26091518,2.56063566,3.0,2.0,0.0
29,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.49869788,1.0
30,1,6.0,5.70288692,3.0,5.81528239,7.0,0.0,2.0,4.0,1.0,5.0,0.0
30,2,7.0,3.5,4.0,4.37822044,6.0,0.0,0.5,1.78284901,3.32456579,2.0,0.0
30,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,1.0
31,1,6.0,5.66499257,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
31,2,5.15668894,3.5,4.0,5.66732792,6.0,0.0,0.5,1.26230982,1.91338286,2.0,1.0
31,3,11.0,3.0,8.0,2.0,4.0,2.35411353,7.0,5.0,1.0,4.0,0.0
32,1,5.73990894,6.0,3.0,4.0,8.45780642,0.0,1.17057587,4.0,1.0,5.0,0.0
32,2,7.0,3.5,4.0,4.5,6.0,-0.67980762,0.5,2.0,3.0,2.0,1.0
32,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.201229,4.0,0.0
33,1,6.0,6.0,3.0,3.59593075,7.0,-2.18897604,2.0,4.0,1.0,5.0,0.0
33,2,6.51028927,3.5,3.03794543,4.5,6.0,-0.44655811,0.5,2.49763964,3.0,2.0,1.0
33,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,5.13120518,0.0
34,1,7.48668732,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
34,2,6.95700767,3.5,4.0,5.17381091,5.58842093,0.0,0.5,2.0,3.0,2.0,1.0
34,3,10.94385043,3.0,8.0,2.0,4.0,3.0,7.0,5.0,0.57955649,4.0,0.0
35,1,6.0,6.0,3.0,4.0,5.99789757,0.0,2.0,4.0,1.0,5.0,0.0
35,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
35,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,6.00454859,1.0,4.0,0.0
36,1,4.8794702,5.5628311,3.0,3.21886092,7.0,0.0,2.0,4.0,1.0,5.0,0.0
36,2,7.65678698,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
36,3,11.893378,3.0,8.0,1.13423626,4.0,3.0,4.90010635,5.0,1.0,4.0,0.0
37,1,5.97606934,6.0,3.0,5.49945605,7.0,0.0,2.0,4.0,1.0,5.0,0.0
37,2,7.0,4.72224628,4.0,4.5,6.0,0.0,-0.67912946,0.86451963,3.0,2.0,1.0
37,3,10.22992124,3.0,8.0,2.0,4.0,3.0,7.77513147,5.34907437,1.35566747,4.0,0.0
38,1,6.0,6.0,3.0,4.0,7.0,0.0,1.74731346,4.0,1.0,3.31883567,0.0
38,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,0.0
38,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,2.26436352,4.0,1.0
39,1,6.0,6.0,2.73416104,4.0,7.0,0.0,2.36309991,4.0,1.0,5.78394955,0.0
39,2,7.0,3.5,3.62571016,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
39,3,10.00070588,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
40,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
40,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.94104652,1.0
40,3,11.0,1.08277622,8.0,1.87332257,4.0,3.0,6.19723862,5.0,1.0,4.0,0.0
41,1,6.77343056,6.0,3.0,4.0,7.0,0.0,2.0,3.77565442,0.9895909,5.0,0.0
41,2,7.0,3.5,3.54675506,4.5,6.0,0.0,0.5,2.0,2.32861473,2.0,1.0
41,3,11.0,3.0,7.54444292,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
42,1,4.41056985,6.0,3.0,5.30227652,7.0,0.0,2.0,4.0,1.0,5.0,1.0
42,2,7.0,3.5,3.98454138,4.5,5.52700546,-1.45930861,0.5,2.33843232,3.55433796,2.0,0.0
42,3,11.0,3.0,8.0,2.0,4.0,3.0,7.73592076,5.0,1.0,4.0,0.0
43,1,6.0,6.0,3.02917871,4.11294274,6.5877452,0.0,2.0,4.0,1.0,5.0,0.0
43,2,7.0,3.5,4.0,4.5,6.0,0.75889115,0.5,2.0,0.98751994,2.0,1.0
43,3,10.15558836,3.0,8.0,1.83870956,4.0,3.0,7.0,5.0,1.0,4.0,0.0
44,1,6.0,6.0,3.0,4.0,7.24628262,0.0,2.0,4.0,1.0,5.0,0.0
44,2,7.0,3.5,4.0,4.5,5.97792895,0.0,0.5,2.0,3.0,2.0,1.0
44,3,11.79029926,3.0,8.0,2.0,4.0,3.0,6.08279992,5.0,2.77842144,4.58200471,0.0
45,1,6.0,6.0,3.0,4.0,5.65499179,0.0,2.0,4.0,1.0,5.0,0.0
45,2,7.0,5.91371213,3.81152701,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
45,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,2.79965653,4.21495201,0.0
46,1,7.54008377,6.20468571,3.0,3.82253826,7.0,0.0,2.63957249,4.0,1.0,5.0,0.0
46,2,6.18332268,3.5,5.41245767,4.5,6.0,0.0,0.5,0.9469226,3.0,2.0,1.0
46,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,3.5788645,1.0,4.0,0.0
47,1,6.0,6.19356972,3.0,4.0,6.02423088,0.54469313,2.0,4.0,1.0,5.0,0.0
47,2,6.192138,3.5,3.30105912,4.5,6.0,-0.70182937,0.5,2.0,2.2551828,2.0,1.0
47,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.59307026,0.0
48,1,6.0,6.0,3.0,4.0,6.91563915,0.0,2.0,2.43966385,1.0,3.12775579,0.0
48,2,7.0,3.5,4.0,4.5,6.0,0.0,-0.68931844,2.0,3.0,2.0,0.0
48,3,11.0,3.0,8.0,2.0,4.0,3.0,7.3671785,5.0,1.0,4.0,1.0
49,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,0.2284998,5.0,0.0
49,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,-0.04697886,1.0
49,3,11.0,3.0,7.03508705,0.29069682,5.63920851,3.0,7.0,5.0,1.0,4.0,0.0
50,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,6.73419066,1.0
50,2,7.0,3.5,2.92057968,4.15434016,6.0,-1.37993942,0.31815369,2.0,3.0,2.0,0.0
50,3,11.0,4.63613015,8.0,2.0,4.0,3.0,7.0,6.69675023,1.0,4.0,0.0
51,1,6.0,6.0,3.0,4.0,6.54357959,0.0,2.0,4.0,1.0,5.0,0.0
51,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.22263037,1.0
51,3,11.0,3.0,8.0,1.73188023,4.0,3.51127643,7.0,5.0,1.0,4.0,0.0
52,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
52,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.34086027,2.0,0.0
52,3,11.0,3.0,9.48403398,2.0,4.0,3.0,7.0,5.0,1.0,4.0,1.0
53,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,3.31513237,1.0,5.0,0.0
53,2,7.0,3.5,4.0,4.5,5.19809849,0.0,0.5,2.0,3.0,2.0,1.0
53,3,11.0,1.07991206,8.0,2.0,4.0,3.0,7.21694565,5.0,1.0,4.0,0.0
54,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,4.37230328,0.0
54,2,7.80669049,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.57055081,2.0,0.0
54,3,11.0,3.0,8.0,2.0,4.41901543,3.0,7.20419477,3.93734531,1.0,4.0,1.0
55,1,6.0,6.0,3.0,4.0,6.70749883,0.0,2.0,4.0,1.0,5.0,0.0
55,2,6.74332135,3.5,5.55321851,4.5,6.0,0.0,-0.10852773,2.0,3.0,2.0,1.0
55,3,11.0,2.88488556,7.33612986,2.0,4.05077779,3.0,7.0,5.0,1.0,4.90598769,0.0
56,1,6.26010302,6.0,2.61080129,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
56,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
56,3,11.0,3.21896013,6.62264659,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
57,1,6.0,6.0,3.0,4.0,6.17792192,-0.81594572,2.0,4.0,1.0,5.0,0.0
57,2,7.0,3.5,4.0,4.5,6.86781418,0.0,0.5,2.0,0.95557166,2.0,1.0
57,3,11.0,3.0,8.0,2.0,3.90107691,3.0,7.0,5.0,1.0,4.0,0.0
58,1,6.0,6.0,3.0,4.09369211,6.32763424,0.0,2.0,4.0,1.0,5.0,0.0
58,2,7.0,3.5,4.0,5.47338442,6.0,-0.2341466,0.5,2.0,4.47147309,2.0,1.0
58,3,11.0,3.0,8.0,2.0,3.14724563,3.0,6.83208509,5.0,1.0,4.0,0.0
59,1,6.0,6.11844283,2.79214584,5.38492931,7.0,0.0,2.0,3.83934249,1.0,5.68100747,0.0
59,2,7.0,4.35822319,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
59,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,4.99808295,1.0,6.29858459,0.0
60,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
60,2,6.89470034,3.5,4.0,4.5,6.0,0.0,-0.3139001,2.0,3.0,2.0,1.0
60,3,11.0,4.51718432,8.0,2.0,4.0,3.0,7.0,6.10256573,-0.37659781,2.86966982,0.0
61,1,6.0,6.0,3.0,5.75621122,7.0,0.0,2.0,4.00906031,1.0,5.0,0.0
61,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
61,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
62,1,6.0,6.0,0.9446404,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
62,2,7.02912217,3.5,4.0,4.5,6.0,0.0,0.5,4.47734227,1.4754323,2.0,1.0
62,3,11.0,3.0,8.0,2.0,3.2862326,3.0,7.0,5.0,1.0,4.0,0.0
63,1,6.0,6.0,3.0,4.0,7.0,0.0,2.78483055,4.0,1.0,5.0,0.0
63,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.91492624,3.0,2.62357512,1.0
63,3,11.0,3.0,8.0,2.0,5.13656641,3.0,7.0,5.88883614,1.0,4.0,0.0
64,1,6.0,6.0,3.0,4.0,7.0,0.0,4.17144054,4.0,1.0,5.38670609,0.0
64,2,7.0,1.9920905,4.0,4.5,6.95045806,0.0,0.5,2.0,3.0,2.0,1.0
64,3,11.0,4.65653782,6.37446905,2.0,4.0,3.0,7.0,5.0,2.78002518,4.0,0.0
65,1,6.0,6.0,4.48202554,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
65,2,6.12161293,3.5,4.0,4.5,6.91527698,0.0,0.40070597,2.0,3.0,2.0,1.0
65,3,11.0,3.0,8.0,2.0,4.0,2.42328901,7.0,4.90294048,1.90130185,4.0,0.0
66,1,6.0,6.0,3.0,4.0,4.69316307,0.0,2.0,4.0847391,1.0,5.0,0.0
66,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.93321916,1.0
66,3,10.06605937,3.0,8.0,2.0,3.86764928,3.0,7.04142211,5.0,1.0,4.0,0.0
67,1,6.0,6.37368179,3.0,4.0,7.0,0.0,2.0,4.0,1.0,4.55501637,0.0
67,2,7.0,3.5,4.0,4.5,4.441069,0.0,0.5,2.0,3.0,1.74045071,1.0
67,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
68,1,6.0,6.41344558,3.0,4.0,5.83163472,0.0,2.0,4.0,1.0,5.0,0.0
68,2,7.0,3.5,3.7621945,4.5,6.0,0.0,0.5,2.0,2.63162409,2.0,0.0
68,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,1.0
69,1,6.0,6.0,3.0,4.0,7.0,0.88313113,2.0,4.0,1.0,5.0,0.0
69,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,1.28778289,2.0,1.0
69,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.52009247,4.0,0.0
70,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
70,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,1.91211364,3.0,2.0,1.0
70,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
71,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
71,2,7.72879195,3.5,4.0,4.5,6.0,0.0,0.5,2.0,4.51636147,2.0,1.0
71,3,11.0,3.0,8.0,2.0,3.55008664,2.53896644,7.0,5.0,1.0,4.0,0.0
72,1,4.9711615,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
72,2,7.0,3.5,5.86881079,4.58030999,6.0,0.92391789,0.5,2.0,3.0,2.0,1.0
72,3,10.39918314,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
73,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
73,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,1.72691813,3.05374948,1.0
73,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,2.41261885,4.0,0.0
74,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
74,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,3.29543293,3.0,2.0,1.0
74,3,11.0,3.0,8.0,1.57364366,4.0,2.10625843,8.88584132,7.26603706,1.0,4.0,0.0
75,1,6.0,6.0,3.0,4.0,7.58259032,0.0,2.0,4.0,1.0,5.0,0.0
75,2,7.0,3.5,4.39954046,4.5,6.0,0.0,0.5,2.0,2.39930215,2.0,1.0
75,3,11.0,3.0,9.26821011,2.0,4.74668754,3.0,7.0,5.0,2.64405001,4.0,0.0
76,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
76,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,1.49690889,3.0,0.89019347,1.0
76,3,11.0,3.0,8.52426975,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
77,1,6.41541292,6.0,3.18959871,4.0,7.0,0.0,2.0,4.0,1.0,5.18501255,0.0
77,2,7.0,3.5,4.0,4.5,4.04030373,0.0,-0.88861144,2.0,3.0,2.0,1.0
77,3,11.0,3.0,8.0,1.44400881,4.0,3.0,7.0,5.0,1.0,4.0,0.0
78,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,1.0
78,2,8.0690065,3.5,4.0,4.5,5.38154933,0.0,0.5,2.0,3.0,2.0,0.0
78,3,11.0,3.0,5.03078646,2.72844753,4.79429598,3.0,7.0,5.0,0.94616652,4.0,0.0
79,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.5770143,1.0,3.92730461,0.0
79,2,7.0,3.23416679,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
79,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
80,1,6.0,6.01074751,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
80,2,7.0,3.5,4.0,4.5,6.0,0.0,-0.14459781,2.0,3.0,2.0,1.0
80,3,11.53185425,2.38844454,8.0,2.0,3.26525406,3.0,7.0,4.40149497,1.0,4.0,0.0
81,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
81,2,7.0,3.5,4.0,4.5,6.0,0.47973586,0.5,2.0,3.0,2.0,1.0
81,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,0.0
82,1,6.74368186,6.0,3.0,4.0,7.0,-2.07712363,2.0,4.0,1.0,5.0,0.0
82,2,7.0,3.5,1.63138268,4.5,6.0,0.0,1.8306337,2.0,3.0,2.0,0.0
82,3,11.0,3.0,8.0,2.0,4.0,3.67959767,7.0,5.429226,0.38844722,5.64428749,1.0
83,1,6.0,5.60031866,3.0,4.0,7.0,-1.12311832,2.0,4.0,1.0,5.0,0.0
83,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,0.972238,3.0,2.0,0.0
83,3,10.66912384,2.98472299,8.62966156,2.0,4.0,3.0,5.71823269,5.0,1.0,4.0,1.0
84,1,6.0,6.0,3.0,4.0,7.0,0.0,2.0,4.40983189,1.0,5.0,0.0
84,2,7.0,3.5,4.0,4.5,6.0,0.0,0.5,2.0,3.0,2.0,1.0
84,3,11.0,3.0,8.0,2.0,4.0,3.6460914,7.0,5.0,0.49120326,4.0,0.0
85,1,6.0,6.0,3.0,3.89111518,7.0,0.0,2.0,4.0,0.57726717,5.0,0.0
85,2,7.0,3.5,4.84209249,4.07315927,6.0,0.0,0.5,2.0,3.0,2.0,1.0
85,3,11.0,3.0,7.8121396,1.96010468,4.0,3.0,7.0,5.0,1.0,4.0,0.0
86,1,6.0,6.0,3.0,4.0,7.0,-0.40964241,2.0,4.0,1.0,5.0,0.0
86,2,7.0,2.88417285,4.0,4.5,6.0,0.0,0.5,1.69182972,3.0,2.0,1.0
86,3,11.0,3.0,8.0,1.69571603,4.0,3.0,7.0,5.49661372,1.0,4.0,0.0
87,1,6.0,6.0,1.23990599,4.0,7.0,0.0,2.0,4.0,1.0,5.0,0.0
87,2,7.44481541,3.5,4.0,4.5,6.0,0.0,0.5,1.78048367,3.0,2.0,0.0
87,3,11.0,3.0,8.0,2.0,4.0,3.0,7.0,5.0,1.0,4.0,1.0
88,1,6.0,6.0,3.0,4.45635016,7.0,0.0,2.0,4.0,1.0,4.79829037,0.0
88,2,7.0,3.5,4.0,4.5,6.0,2.31622263,0.5,1.08241911,3.0,2.0,1.0
88,3,11.0,1.53045596,8.0,2.0,4.0,3.0,7.0,5.0,1.0,3.70058339,0.0
89,1,4.4966201,6.0,3.0,4.0,7.0,0.0,4.36313718,4.0,1.0,5.0,1.0
89,2,7.0,3.5,4.0,4.5,6.0,-1.28669141,0.5,1.91404257,3.0,2.14105043,0.0
89,3,10.99437968,3.0,8.0,2.0,3.58129521,3.0,5.91642985,5.0,1.0,4.0,0.0
90,1,6.0,4.86677469,2.8570361,4.0,7.0,0.0,2.0,4.0,1.0,5.0,1.0
