,sl.no,idx.chid,idx.alt,choice,cost,risk,weight,seats,noise,crowdness,convloc,clientele,african,lifeExp,dwage,iwage,educ,fatalism,gender,age,haveChildren,swim,idx.id,av,afrifer,afrihov,afriwat,lifefer,lifehov,lifewat,dwagfer,dwaghov,dwagwat,iwagfer,iwaghov,iwagwat,educfer,educhov,educwat,gendfer,gendhov,gendwat,agefer,agehove,agewat,Childfer,Childhov,Childwat,swimfer,swimhov,swimwat
40,40,15,Ferry,0,59.736721,4.431152,0.3863821,0.8,0.6,0.4,0.4,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0
41,41,15,Helicopter,1,86.928406,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,15,Hovercraft,0,0,0,0,0,0,0,0,0,1,45,34.6420326,34.6420326,1,0,0,35,0,0,8260104,0,0,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0
43,43,15,WaterTaxi,0,60.207851,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.6,1,45,34.6420326,34.6420326,1,3,0,35,0,0,8260104,1,0,0,1,0,0,45,0,0,34.6420326,0,0,34.6420326,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0
44,44,18,Ferry,0,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0,0
45,45,18,Helicopter,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,18,Hovercraft,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0
47,47,18,WaterTaxi,1,46.73595,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1
48,48,19,Ferry,0,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0,0
49,49,19,Helicopter,1,37.309467,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,19,Hovercraft,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0
51,51,19,WaterTaxi,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1
52,52,20,Ferry,0,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0,0
53,53,20,Helicopter,1,37.309467,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,20,Hovercraft,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0
55,55,20,WaterTaxi,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1
56,56,21,Ferry,0,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0,0
57,57,21,Helicopter,0,82.309471,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,21,Hovercraft,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0
59,59,21,WaterTaxi,1,46.73595,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1
60,60,22,Ferry,0,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0,0
61,61,22,Helicopter,0,82.309471,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,22,Hovercraft,0,0,0,0,0,0,0,0,0,1,28,11.5473442,11.5473442,1,0,0,52,1,1,8260106,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1,0
63,63,22,WaterTaxi,1,46.73595,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.8,1,28,11.5473442,11.5473442,1,2,0,52,1,1,8260106,1,0,0,1,0,0,28,0,0,11.5473442,0,0,11.5473442,0,0,1,0,0,0,0,0,52,0,0,1,0,0,1
64,64,28,Ferry,0,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
65,65,28,Helicopter,0,0,0,0,0,0,0,0,0,1,46,0,27.8349838,1,0,1,39,1,1,8260108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,28,Hovercraft,0,49.564396,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0
67,67,28,WaterTaxi,1,52.81181,2.55127,0.3863821,1,1,0.8,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1
68,68,29,Ferry,0,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
69,69,29,Helicopter,1,69.572784,18.408203,0.3863821,0.4,1,0.8,1,0.6,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,29,Hovercraft,0,58.70808,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0
71,71,29,WaterTaxi,0,0,0,0,0,0,0,0,0,1,46,0,27.8349838,1,0,1,39,1,1,8260108,0,0,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1
72,72,30,Ferry,0,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
73,73,30,Helicopter,1,69.572784,18.408203,0.3863821,0.4,1,0.8,1,0.6,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,74,30,Hovercraft,0,58.70808,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0
75,75,30,WaterTaxi,0,0,0,0,0,0,0,0,0,1,46,0,27.8349838,1,0,1,39,1,1,8260108,0,0,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1
76,76,31,Ferry,1,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
77,77,31,Helicopter,0,0,0,0,0,0,0,0,0,1,46,0,27.8349838,1,0,1,39,1,1,8260108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,31,Hovercraft,0,49.564396,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0
79,79,31,WaterTaxi,0,52.81181,2.55127,0.3863821,1,1,0.8,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1
80,80,32,Ferry,0,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
81,81,32,Helicopter,0,78.716469,18.408203,0.3863821,0.4,1,0.8,1,0.6,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,32,Hovercraft,0,67.851768,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0
83,83,32,WaterTaxi,1,52.81181,2.55127,0.3863821,1,1,0.8,0.8,0.8,1,46,0,27.8349838,1,1,1,39,1,1,8260108,1,0,0,1,0,0,46,0,0,0,0,0,27.8349838,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1
84,84,33,Ferry,1,4.689903,4.431152,1.4678842,1,0.6,0.6,0.4,0.8,1,60,0,0,0,1,0,25,1,1,8260201,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0,0
85,85,33,Helicopter,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,25,1,1,8260201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,33,Hovercraft,0,93.798065,3.881836,1.4678842,1,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0
87,87,33,WaterTaxi,0,93.798065,2.55127,1.4678842,0.8,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1
88,88,34,Ferry,1,4.689903,4.431152,1.4678842,1,0.6,0.6,0.4,0.8,1,60,0,0,0,1,0,25,1,1,8260201,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0,0
89,89,34,Helicopter,0,164.146622,18.408203,1.4678842,0.6,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,34,Hovercraft,0,117.247581,3.881836,1.4678842,1,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0
91,91,34,WaterTaxi,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,25,1,1,8260201,0,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1
92,92,35,Ferry,1,4.689903,4.431152,1.4678842,1,0.6,0.6,0.4,0.8,1,60,0,0,0,1,0,25,1,1,8260201,1,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0,0
93,93,35,Helicopter,0,187.59613,18.408203,1.4678842,0.6,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,35,Hovercraft,0,140.697098,3.881836,1.4678842,1,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1,0
95,95,35,WaterTaxi,0,93.798065,2.55127,1.4678842,0.8,1,1,1,1,1,60,0,0,0,1,0,25,1,1,8260201,1,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,1
96,96,36,Ferry,1,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,1,46,0,31.3598614,1,10,1,39,1,1,8260202,1,1,0,0,46,0,0,0,0,0,31.3598614,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
97,97,36,Helicopter,0,0,0,0,0,0,0,0,0,1,46,0,31.3598614,1,0,1,39,1,1,8260202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,36,Hovercraft,0,108.432671,3.881836,1.4678842,0.6,1,1,1,1,1,46,0,31.3598614,1,10,1,39,1,1,8260202,1,0,1,0,0,46,0,0,0,0,0,31.3598614,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0
99,99,36,WaterTaxi,0,112.091324,2.55127,1.4678842,0.6,1,1,1,1,1,46,0,31.3598614,1,10,1,39,1,1,8260202,1,0,0,1,0,0,46,0,0,0,0,0,31.3598614,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1
100,100,37,Ferry,1,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,1,46,0,31.3598614,1,10,1,39,1,1,8260202,1,1,0,0,46,0,0,0,0,0,31.3598614,0,0,1,0,0,1,0,0,39,0,0,1,0,0,1,0,0
101,101,37,Helicopter,0,170.418594,18.408203,1.4678842,0.6,0.4,1,1,1,1,46,0,31.3598614,1,10,1,39,1,1,8260202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
