,idx.chid,idx.alt,choice,cost,risk,weight,seats,noise,crowdness,convloc,clientele,african,lifeExp,dwage,iwage,educ,fatalism,gender,age,haveChildren,swim,idx.id
31,10,WaterTaxi,TRUE,135.030991,2.55127,0.3863821,0.8,0.6,0.8,0.6,0.8,no,37,0,70.6850052,high,4,male,33,no,no,8260102
32,13,Ferry,FALSE,59.736721,4.431152,0.3863821,0.8,0.6,0.4,0.4,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
33,13,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,45,34.6420326,34.6420326,high,0,female,35,no,no,8260104
34,13,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,45,34.6420326,34.6420326,high,0,female,35,no,no,8260104
35,13,WaterTaxi,TRUE,60.207851,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
36,14,Ferry,FALSE,59.736721,4.431152,0.3863821,0.8,0.6,0.4,0.4,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
37,14,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,45,34.6420326,34.6420326,high,0,female,35,no,no,8260104
38,14,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,45,34.6420326,34.6420326,high,0,female,35,no,no,8260104
39,14,WaterTaxi,TRUE,60.207851,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
40,15,Ferry,FALSE,59.736721,4.431152,0.3863821,0.8,0.6,0.4,0.4,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
41,15,Helicopter,TRUE,86.928406,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
42,15,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,45,34.6420326,34.6420326,high,0,female,35,no,no,8260104
43,15,WaterTaxi,FALSE,60.207851,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.6,yes,45,34.6420326,34.6420326,high,3,female,35,no,no,8260104
44,18,Ferry,FALSE,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
45,18,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
46,18,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
47,18,WaterTaxi,TRUE,46.73595,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
48,19,Ferry,FALSE,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
49,19,Helicopter,TRUE,37.309467,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
50,19,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
51,19,WaterTaxi,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
52,20,Ferry,FALSE,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
53,20,Helicopter,TRUE,37.309467,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
54,20,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
55,20,WaterTaxi,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
56,21,Ferry,FALSE,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
57,21,Helicopter,FALSE,82.309471,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
58,21,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
59,21,WaterTaxi,TRUE,46.73595,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
60,22,Ferry,FALSE,21.245573,4.431152,0.3863821,0.8,0.6,0.4,0.6,0.6,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
61,22,Helicopter,FALSE,82.309471,18.408203,0.3863821,0.8,0.8,0.8,0.6,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
62,22,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,28,11.5473442,11.5473442,high,0,female,52,yes,yes,8260106
63,22,WaterTaxi,TRUE,46.73595,2.55127,0.3863821,0.8,0.8,0.8,0.8,0.8,yes,28,11.5473442,11.5473442,high,2,female,52,yes,yes,8260106
64,28,Ferry,FALSE,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
65,28,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,46,0,27.8349838,high,0,male,39,yes,yes,8260108
66,28,Hovercraft,FALSE,49.564396,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
67,28,WaterTaxi,TRUE,52.81181,2.55127,0.3863821,1,1,0.8,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
68,29,Ferry,FALSE,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
69,29,Helicopter,TRUE,69.572784,18.408203,0.3863821,0.4,1,0.8,1,0.6,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
70,29,Hovercraft,FALSE,58.70808,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
71,29,WaterTaxi,FALSE,0,0,0.3863821,0,0,0,0,0,yes,46,0,27.8349838,high,0,male,39,yes,yes,8260108
72,30,Ferry,FALSE,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
73,30,Helicopter,TRUE,69.572784,18.408203,0.3863821,0.4,1,0.8,1,0.6,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
74,30,Hovercraft,FALSE,58.70808,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
75,30,WaterTaxi,FALSE,0,0,0.3863821,0,0,0,0,0,yes,46,0,27.8349838,high,0,male,39,yes,yes,8260108
76,31,Ferry,TRUE,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
77,31,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,46,0,27.8349838,high,0,male,39,yes,yes,8260108
78,31,Hovercraft,FALSE,49.564396,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
79,31,WaterTaxi,FALSE,52.81181,2.55127,0.3863821,1,1,0.8,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
80,32,Ferry,FALSE,48.220375,4.431152,0.3863821,0.8,0.6,0.4,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
81,32,Helicopter,FALSE,78.716469,18.408203,0.3863821,0.4,1,0.8,1,0.6,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
82,32,Hovercraft,FALSE,67.851768,3.881836,0.3863821,0.8,0.6,0.8,0.4,0.4,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
83,32,WaterTaxi,TRUE,52.81181,2.55127,0.3863821,1,1,0.8,0.8,0.8,yes,46,0,27.8349838,high,1,male,39,yes,yes,8260108
84,33,Ferry,TRUE,4.689903,4.431152,1.4678842,1,0.6,0.6,0.4,0.8,yes,60,0,0,low,1,female,25,yes,yes,8260201
85,33,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,yes,60,0,0,low,0,female,25,yes,yes,8260201
86,33,Hovercraft,FALSE,93.798065,3.881836,1.4678842,1,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
87,33,WaterTaxi,FALSE,93.798065,2.55127,1.4678842,0.8,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
88,34,Ferry,TRUE,4.689903,4.431152,1.4678842,1,0.6,0.6,0.4,0.8,yes,60,0,0,low,1,female,25,yes,yes,8260201
89,34,Helicopter,FALSE,164.146622,18.408203,1.4678842,0.6,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
90,34,Hovercraft,FALSE,117.247581,3.881836,1.4678842,1,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
91,34,WaterTaxi,FALSE,0,0,1.4678842,0,0,0,0,0,yes,60,0,0,low,0,female,25,yes,yes,8260201
92,35,Ferry,TRUE,4.689903,4.431152,1.4678842,1,0.6,0.6,0.4,0.8,yes,60,0,0,low,1,female,25,yes,yes,8260201
93,35,Helicopter,FALSE,187.59613,18.408203,1.4678842,0.6,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
94,35,Hovercraft,FALSE,140.697098,3.881836,1.4678842,1,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
95,35,WaterTaxi,FALSE,93.798065,2.55127,1.4678842,0.8,1,1,1,1,yes,60,0,0,low,1,female,25,yes,yes,8260201
96,36,Ferry,TRUE,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
97,36,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,yes,46,0,31.3598614,high,0,male,39,yes,yes,8260202
98,36,Hovercraft,FALSE,108.432671,3.881836,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
99,36,WaterTaxi,FALSE,112.091324,2.55127,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
100,37,Ferry,TRUE,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
101,37,Helicopter,FALSE,170.418594,18.408203,1.4678842,0.6,0.4,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
102,37,Hovercraft,FALSE,131.882187,3.881836,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
103,37,WaterTaxi,FALSE,0,0,1.4678842,0,0,0,0,0,yes,46,0,31.3598614,high,0,male,39,yes,yes,8260202
104,38,Ferry,TRUE,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
105,38,Helicopter,FALSE,170.418594,18.408203,1.4678842,0.6,0.4,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
106,38,Hovercraft,FALSE,0,0,1.4678842,0,0,0,0,0,yes,46,0,31.3598614,high,0,male,39,yes,yes,8260202
107,38,WaterTaxi,FALSE,112.091324,2.55127,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
108,39,Ferry,TRUE,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
109,39,Helicopter,FALSE,193.868103,18.408203,1.4678842,0.6,0.4,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
110,39,Hovercraft,FALSE,155.331711,3.881836,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
111,39,WaterTaxi,FALSE,112.091324,2.55127,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
112,40,Ferry,TRUE,56.956341,4.431152,1.4678842,1,0.6,0.6,0.8,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
113,40,Helicopter,FALSE,193.868103,18.408203,1.4678842,0.6,0.4,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
114,40,Hovercraft,FALSE,0,0,1.4678842,0,0,0,0,0,yes,46,0,31.3598614,high,0,male,39,yes,yes,8260202
115,40,WaterTaxi,FALSE,112.091324,2.55127,1.4678842,0.6,1,1,1,1,yes,46,0,31.3598614,high,10,male,39,yes,yes,8260202
116,41,Ferry,TRUE,1.606509,4.431152,1.4678842,0.8,0.2,0.2,0.6,0.8,no,27,0,0,high,1,male,58,yes,no,8260203
117,41,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,no,27,0,0,high,0,male,58,yes,no,8260203
118,41,Hovercraft,FALSE,32.130177,3.881836,1.4678842,1,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
119,41,WaterTaxi,FALSE,32.130177,2.55127,1.4678842,0.8,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
120,44,Ferry,TRUE,1.606509,4.431152,1.4678842,0.8,0.2,0.2,0.6,0.8,no,27,0,0,high,1,male,58,yes,no,8260203
121,44,Helicopter,FALSE,64.260353,18.408203,1.4678842,0.4,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
122,44,Hovercraft,FALSE,0,0,1.4678842,0,0,0,0,0,no,27,0,0,high,0,male,58,yes,no,8260203
123,44,WaterTaxi,FALSE,32.130177,2.55127,1.4678842,0.8,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
124,45,Ferry,TRUE,1.606509,4.431152,1.4678842,0.8,0.2,0.2,0.6,0.8,no,27,0,0,high,1,male,58,yes,no,8260203
125,45,Helicopter,FALSE,56.227814,18.408203,1.4678842,0.4,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
126,45,Hovercraft,FALSE,40.162724,3.881836,1.4678842,1,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
127,45,WaterTaxi,FALSE,32.130177,2.55127,1.4678842,0.8,1,1,1,1,no,27,0,0,high,1,male,58,yes,no,8260203
128,46,Ferry,TRUE,42.395493,4.431152,1.4678842,0.2,0.2,0.2,0.2,0.2,yes,55,23.997448,23.997448,high,10,male,30,no,no,8260204
129,46,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,yes,55,23.997448,23.997448,high,0,male,30,no,no,8260204
130,46,Hovercraft,FALSE,59.193707,3.881836,1.4678842,1,1,1,1,1,yes,55,23.997448,23.997448,high,10,male,30,no,no,8260204
131,46,WaterTaxi,FALSE,61.993408,2.55127,1.4678842,0.6,0.6,0.8,1,1,yes,55,23.997448,23.997448,high,10,male,30,no,no,8260204
132,47,Ferry,TRUE,11.622787,4.431152,1.4678842,0.2,0.2,0.4,0.2,0.6,yes,40,5.7736721,5.7736721,high,10,female,45,yes,no,8260205
133,47,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,yes,40,5.7736721,5.7736721,high,0,female,45,yes,no,8260205
134,47,Hovercraft,FALSE,42.694382,3.881836,1.4678842,0.8,0.6,0.8,1,1,yes,40,5.7736721,5.7736721,high,10,female,45,yes,no,8260205
135,47,WaterTaxi,FALSE,43.367977,2.55127,1.4678842,0.6,0.4,1,0.8,1,yes,40,5.7736721,5.7736721,high,10,female,45,yes,no,8260205
136,48,Ferry,TRUE,65.024048,4.431152,1.4678842,0.8,0.2,0.2,0.6,0.6,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
137,48,Helicopter,FALSE,0,0,1.4678842,0,0,0,0,0,no,48,36.2004852,36.2004852,high,0,male,37,yes,yes,8260206
138,48,Hovercraft,FALSE,110.691628,3.881836,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
139,48,WaterTaxi,FALSE,114.915016,2.55127,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
140,49,Ferry,TRUE,65.024048,4.431152,1.4678842,0.8,0.2,0.2,0.6,0.6,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
141,49,Helicopter,FALSE,194.836227,18.408203,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
142,49,Hovercraft,FALSE,110.691628,3.881836,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
143,49,WaterTaxi,FALSE,114.915016,2.55127,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
144,50,Ferry,TRUE,65.024048,4.431152,1.4678842,0.8,0.2,0.2,0.6,0.6,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
145,50,Helicopter,FALSE,194.836227,18.408203,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
146,50,Hovercraft,FALSE,110.691628,3.881836,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
147,50,WaterTaxi,FALSE,114.915016,2.55127,1.4678842,0.8,1,1,0.8,0.8,no,48,36.2004852,36.2004852,high,1,male,37,yes,yes,8260206
148,51,Ferry,FALSE,200.102539,4.431152,0.3863821,0.4,0.4,0.2,0.2,0.6,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
149,51,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,42,117.2475815,117.2475815,high,0,male,43,no,no,8260301
150,51,Hovercraft,FALSE,148.513611,3.881836,0.3863821,0.8,0.6,0.6,0.6,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
151,51,WaterTaxi,TRUE,162.19249,2.55127,0.3863821,0.8,0.8,1,0.8,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
152,52,Ferry,TRUE,200.102539,4.431152,0.3863821,0.4,0.4,0.2,0.2,0.6,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
153,52,Helicopter,FALSE,187.59613,18.408203,0.3863821,0.6,1,1,0.8,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
154,52,Hovercraft,FALSE,171.96312,3.881836,0.3863821,0.8,0.6,0.6,0.6,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
155,52,WaterTaxi,FALSE,0,0,0.3863821,0,0,0,0,0,yes,42,117.2475815,117.2475815,high,0,male,43,no,no,8260301
156,53,Ferry,TRUE,200.102539,4.431152,0.3863821,0.4,0.4,0.2,0.2,0.6,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
157,53,Helicopter,FALSE,187.59613,18.408203,0.3863821,0.6,1,1,0.8,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
158,53,Hovercraft,FALSE,171.96312,3.881836,0.3863821,0.8,0.6,0.6,0.6,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
159,53,WaterTaxi,FALSE,0,0,0.3863821,0,0,0,0,0,yes,42,117.2475815,117.2475815,high,0,male,43,no,no,8260301
160,54,Ferry,FALSE,200.102539,4.431152,0.3863821,0.4,0.4,0.2,0.2,0.6,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
161,54,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,42,117.2475815,117.2475815,high,0,male,43,no,no,8260301
162,54,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,42,117.2475815,117.2475815,high,0,male,43,no,no,8260301
163,54,WaterTaxi,TRUE,162.19249,2.55127,0.3863821,0.8,0.8,1,0.8,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
164,55,Ferry,FALSE,200.102539,4.431152,0.3863821,0.4,0.4,0.2,0.2,0.6,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
165,55,Helicopter,FALSE,211.045654,18.408203,0.3863821,0.6,1,1,0.8,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
166,55,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,42,117.2475815,117.2475815,high,0,male,43,no,no,8260301
167,55,WaterTaxi,TRUE,162.19249,2.55127,0.3863821,0.8,0.8,1,0.8,1,yes,42,117.2475815,117.2475815,high,1,male,43,no,no,8260301
168,56,Ferry,FALSE,102.479485,4.431152,0.3863821,0.8,0.2,0.2,0.2,0.2,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
169,56,Helicopter,FALSE,0,0,0.3863821,0,0,0,0,0,yes,48,58.9357719,58.9357719,low,0,female,37,no,no,8260303
170,56,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,48,58.9357719,58.9357719,low,0,female,37,no,no,8260303
171,56,WaterTaxi,TRUE,119.443169,2.55127,0.3863821,1,1,1,0.8,0.8,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
172,59,Ferry,FALSE,102.479485,4.431152,0.3863821,0.8,0.2,0.2,0.2,0.2,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
173,59,Helicopter,FALSE,181.915085,18.408203,0.3863821,0.6,1,1,0.6,1,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
174,59,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,48,58.9357719,58.9357719,low,0,female,37,no,no,8260303
175,59,WaterTaxi,TRUE,119.443169,2.55127,0.3863821,1,1,1,0.8,0.8,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
176,60,Ferry,FALSE,102.479485,4.431152,0.3863821,0.8,0.2,0.2,0.2,0.2,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
177,60,Helicopter,FALSE,181.915085,18.408203,0.3863821,0.6,1,1,0.6,1,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
178,60,Hovercraft,FALSE,0,0,0.3863821,0,0,0,0,0,yes,48,58.9357719,58.9357719,low,0,female,37,no,no,8260303
179,60,WaterTaxi,TRUE,119.443169,2.55127,0.3863821,1,1,1,0.8,0.8,yes,48,58.9357719,58.9357719,low,8,female,37,no,no,8260303
180,61,Ferry,FALSE,29.916544,4.431152,0.3863821,0.4,0.4,0.4,0.2,0.6,yes,59,16.3090668,16.3090668,high,10,male,26,no,no,8260304
